Taxa;Fish_FreshDiet;Fish_ConditionedDiet;Fish_AnteriorMidgut;Fish_MiddleMidgut;Fish_PosteriorMidgut;VegMix_FreshDiet;VegMix_ConditionedDiet;VegMix_AnteriorMidgut;VegMix_MiddleMidgut;VegMix_PosteriorMidgut;Standard_FreshDiet;Standard_ConditionedDiet;Standard_AnteriorMidgut;Standard_MiddleMidgut;Standard_PosteriorMidgut;;;;;;;;;;;;;
"Bacteroidetes;c__;f__;g__CandidatusCardinium";0;0;0;0;0;0;0.011833333;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia";0.000583333;0;0;0;0;0;0.000145833;0.012916667;0.001708334;0.000375;0.000729167;0.0005625;0.007020833;0.001375;0.000229167;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Bacteroidaceae;g__Bacteroides";0.002833333;4.16666E-05;8.33332E-05;0;0;0.0015;0.003833333;0.000125;0.024958333;0;0.027958333;0.033041667;0.035416667;0.0045;0.000333333;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Porphyromonadaceae";0.000375;0;0;0;0;0;0.000125;0.00275;0.000875;0.001291667;0.001;0.000541667;0.002708333;0.000708333;0.001708333;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Porphyromonadaceae;g__Dysgonomonas";0;0;0;4.16666E-05;4.16666E-05;0.001166667;0.0125;0.183666667;0.126375;0.492541667;0.073666667;0.024291667;0.1115;0.132333333;0.4055;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Porphyromonadaceae;g__Odoribacter";8.33334E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Porphyromonadaceae;g__Parabacteroides";0;0;0;4.16666E-05;0;0;4.16666E-05;0.000125;0;4.16666E-05;0;4.16666E-05;0;0;4.16666E-05;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Porphyromonadaceae;g__Porphyromonas";0.000583333;0;0;0;0;8.33334E-05;0.000208333;0;0;4.16666E-05;0.000125;0;0;0.000125;0;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Prevotellaceae";0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;;;;;;;;;;;;;
"Bacteroidetes;c__Bacteroidia;f__Prevotellaceae;g__Prevotella";0.00075;0;0;0;0;0.000666667;0.000125;0;0.000166667;0.00025;8.33332E-05;0;0;8.33334E-05;0.000125;;;;;;;;;;;;;
